Tournament,PlayerID,Name,FName,Club,Lineup,Position,Price
1022617,4388254,Saliba,William,ARS,expected,defender,10.3
1022617,4388255,Mosquera,Cristhian,ARS,unexpected,defender,10
1022617,4388256,Merino,Mikel,ARS,expected,midfielder,10.7
1022617,4388257,Timber,Jurrien,ARS,expected,defender,10.6
1022617,4388258,Hincapie,Piero,ARS,unexpected,defender,9.9
1022617,4388259,Rice,Declan,ARS,expected,midfielder,10.8
1022617,4388260,Norgaard,Christian,ARS,unexpected,midfielder,9.6
1022617,4388261,Raya,David,ARS,expected,goalkeeper,10.9
1022617,4388262,Martinelli,Gabriel,ARS,possible,midfielder,11.9
1022617,4388263,White,Ben,ARS,possible,defender,10.2
1022617,4388264,Trossard,Leandro,ARS,possible,midfielder,11.7
1022617,4388265,Calafiori,Riccardo,ARS,expected,defender,10.5
1022617,4388266,Saka,Bukayo,ARS,expected,midfielder,12.2
1022617,4388267,Gabriel,Gabriel,ARS,expected,defender,10.4
1022617,4388268,Zubimendi,Martin,ARS,expected,midfielder,9.9
1022617,4388269,Arrizabalaga,Kepa,ARS,unexpected,goalkeeper,10.8
1022617,4388270,Madueke,Noni,ARS,unexpected,midfielder,10.2
1022617,4388271,Odegaard,Martin,ARS,injured,midfielder,11
1022617,4388272,Gyokeres,Viktor,ARS,expected,forward,12
1022617,4388273,Havertz,Kai,ARS,injured,forward,11.2
1022617,4388274,Eze,Eberechi,ARS,expected,midfielder,11.4
1022617,4388275,Dowman,Max,ARS,unexpected,midfielder,9.7
1022617,4388324,Cardoso,Johnny,ATM,injured,midfielder,5.2
1022617,4388325,Koke,Koke,ATM,possible,midfielder,5.3
1022617,4388326,Gonzalez,Nico,ATM,possible,midfielder,6
1022617,4388327,Barrios,Pablo,ATM,expected,midfielder,5.4
1022617,4388328,Llorente,Marcos,ATM,expected,defender,6.2
1022617,4388329,Galan,Javi,ATM,unexpected,defender,5.8
1022617,4388330,Lenglet,Clement,ATM,expected,defender,5.7
1022617,4388331,Musso,Juan,ATM,unexpected,goalkeeper,6.1
1022617,4388332,Raspadori,Giacomo,ATM,expected,forward,6.6
1022617,4388333,Martin,Carlos,ATM,unexpected,midfielder,5.1
